time,open,high,low,close,Kalman
2023-11-25,0.6259,0.6893,0.6217,0.6546,0.5364518981426156
2023-11-26,0.655,0.6686,0.6083,0.6335,0.5418955602093343
2023-11-27,0.6348,0.6475,0.577,0.593,0.5447621314765282
2023-11-28,0.593,0.6302,0.5642,0.6183,0.5488870478598658
2023-11-29,0.6184,0.6234,0.5785,0.6022,0.5518774999104432
2023-11-30,0.6004,0.6405,0.5875,0.5974,0.5544309667186438
2023-12-01,0.5975,0.6283,0.5917,0.6132,0.5577274635177124
2023-12-02,0.614,0.634,0.6042,0.6262,0.5615682532113785
2023-12-03,0.624,0.6303,0.599,0.6152,0.5645765872223275
2023-12-04,0.6157,0.6466,0.5547,0.629,0.5681902518027755
2023-12-05,0.6298,0.6592,0.618,0.6442,0.5724538218774214
2023-12-06,0.647,0.6671,0.6037,0.6221,0.5752385957305363
2023-12-07,0.6222,0.72,0.6049,0.6721,0.5806717854781289
2023-12-08,0.6721,0.7176,0.6689,0.704,0.5875895624376574
2023-12-09,0.7036,0.7261,0.6619,0.6783,0.5926777296294479
2023-12-10,0.6797,0.7154,0.6673,0.69,0.598136770467896
2023-12-11,0.6925,0.7153,0.6047,0.6289,0.5998623541980924
2023-12-12,0.6284,0.6631,0.619,0.6614,0.6033141491495593
2023-12-13,0.663,0.6662,0.6054,0.6545,0.6061852869587616
2023-12-14,0.6524,0.6708,0.6288,0.655,0.6089234219302192
2023-12-15,0.655,0.6552,0.6156,0.6166,0.6093540197062657
2023-12-16,0.6192,0.6491,0.6,0.6323,0.6106411150753008
2023-12-17,0.6329,0.6364,0.6038,0.6092,0.6105602794554704
2023-12-18,0.6095,0.619,0.5633,0.6103,0.6105456797531478
2023-12-19,0.6104,0.7375,0.6057,0.6794,0.614407884618337
2023-12-20,0.68,0.7477,0.6445,0.6877,0.6185190161143936
2023-12-21,0.687,0.7182,0.6677,0.6891,0.6224780737069212
2023-12-22,0.6891,0.7021,0.6565,0.6953,0.6265628311631197
2023-12-23,0.6947,0.7599,0.6932,0.754,0.633711089278504
2023-12-24,0.7555,0.7623,0.7035,0.7189,0.6384895407143188
2023-12-25,0.7186,0.8297,0.7102,0.8185,0.6485867614716819
2023-12-26,0.8198,0.9127,0.7734,0.8833,0.6617523930327462
2023-12-27,0.8878,0.9209,0.8204,0.8301,0.6711954162785271
2023-12-28,0.8293,0.8645,0.7762,0.7968,0.6782408802754588
2023-12-29,0.7976,0.862,0.7601,0.806,0.6854071973924696
2023-12-30,0.805,0.8221,0.77,0.8078,0.6922725048414855
2023-12-31,0.8075,0.8315,0.765,0.7751,0.6969184987837773
2024-01-01,0.7744,0.8471,0.7561,0.8436,0.7051462179100437
2024-01-02,0.8443,0.9319,0.7785,0.9061,0.7164182001483423
2024-01-03,0.9051,0.9621,0.683,0.843,0.7235184785545501
2024-01-04,0.8449,0.871,0.8059,0.8544,0.7308599387137468
2024-01-05,0.8551,0.9037,0.7681,0.9,0.7403474126332351
2024-01-06,0.9008,0.9044,0.8089,0.8319,0.7454828180380703
2024-01-07,0.8318,0.8603,0.792,0.8009,0.7485913014130715
2024-01-08,0.7973,0.895,0.7205,0.8613,0.7549134041142895
2024-01-09,0.8621,0.8744,0.776,0.7969,0.7572685335283623
2024-01-10,0.7971,0.8625,0.7613,0.8428,0.7620661997422277
2024-01-11,0.843,1.1508,0.8307,1.0872,0.7803037386601339
2024-01-12,1.0854,1.2257,1.0437,1.1683,0.8020673846132053
2024-01-13,1.1689,1.3652,1.1169,1.2882,0.8293357353209706
2024-01-14,1.2896,1.3531,1.2317,1.2517,0.853027165459905
2024-01-15,1.2535,1.4496,1.2494,1.3708,0.8820702923604851
2024-01-16,1.3721,1.3982,1.2391,1.2706,0.9038638606029007
2024-01-17,1.2708,1.33,1.2016,1.2941,0.9257531467176641
2024-01-18,1.2932,1.347,1.1434,1.1582,0.9387916512647673
2024-01-19,1.1582,1.1908,1.0836,1.1643,0.9514409583595916
2024-01-20,1.1642,1.1651,1.0565,1.1005,0.9598020394616636
2024-01-21,1.1004,1.128,1.0518,1.0597,0.9654055569725809
2024-01-22,1.0602,1.1327,1.01,1.0719,0.9713790870937538
2024-01-23,1.0702,1.2848,1.0142,1.1851,0.9833672084874799
2024-01-24,1.1851,1.3163,1.1417,1.2925,1.0007072122383487
2024-01-25,1.292,1.2934,1.1636,1.1775,1.010623946040396
2024-01-26,1.1766,1.4736,1.1568,1.4582,1.035729566238387
2024-01-27,1.4589,1.5,1.3725,1.3921,1.0557192432567637
2024-01-28,1.3905,1.4884,1.31,1.3327,1.0712557618426641
2024-01-29,1.333,1.5866,1.327,1.5629,1.0988332727629013
2024-01-30,1.5637,1.65,1.5141,1.5452,1.1238710589087282
2024-01-31,1.5442,1.6377,1.483,1.5174,1.1459450462111085
2024-02-01,1.5177,1.5677,1.4306,1.5266,1.1672969005200275
2024-02-02,1.5288,1.5442,1.4433,1.4621,1.183833117288679
2024-02-03,1.4625,1.4844,1.3873,1.4375,1.1980619044586298
